,word1,word2,freq
6711,사진,코닥,428
3444,미니,코닥,411
3399,미니,사진,405
3898,레트로,코닥,398
3853,레트로,사진,394
3370,레트로,미니,388
20044,카메라,코닥,363
16603,사진,카메라,360
13364,미니,카메라,342
14062,레트로,카메라,335
5263,카트리지,코닥,334
5218,사진,카트리지,328
3383,미니,카트리지,318
3837,레트로,카트리지,306
9448,코닥,폴라로이드,303
6748,사진,폴라로이드,299
3481,미니,폴라로이드,293
3093,블루투스,코닥,290
3048,블루투스,사진,290
3935,레트로,폴라로이드,283
2239,구매,코닥,282
3015,미니,블루투스,280
2194,구매,사진,277
9429,코닥,프린터,274
15388,카메라,카트리지,274
6717,사진,인화,273
6729,사진,프린터,273
9433,코닥,포토,272
9417,인화,코닥,272
3514,사진,화질,271
